,trip_master_id,estimated_dt,mindiff,smoothed,closure_percent,pull_timestamp,yy,mm,dd,DayOfWeek,hh,mi,minute_col,dy
250,7361,106,502,100,0,2023-01-28 08:22:00,2023,1,28,6,8,22,08:22:00,28
251,7361,106,500,100,0,2023-01-28 08:20:00,2023,1,28,6,8,20,08:20:00,28
252,7361,112,1070,100,0,2023-01-28 17:50:00,2023,1,28,6,17,50,17:50:00,28
253,7361,130,1078,100,0,2023-01-28 17:58:00,2023,1,28,6,17,58,17:58:00,28
254,7361,763,1376,100,0,2023-01-28 22:56:00,2023,1,28,6,22,56,22:56:00,28
255,7361,242,792,100,0,2023-01-28 13:12:00,2023,1,28,6,13,12,13:12:00,28
256,7361,127,1080,100,0,2023-01-28 18:00:00,2023,1,28,6,18,0,18:00:00,28
257,7361,93,504,100,0,2023-01-28 08:24:00,2023,1,28,6,8,24,08:24:00,28
258,7361,767,1378,100,0,2023-01-28 22:58:00,2023,1,28,6,22,58,22:58:00,28
259,7361,102,508,100,0,2023-01-28 08:28:00,2023,1,28,6,8,28,08:28:00,28
260,7361,97,510,100,0,2023-01-28 08:30:00,2023,1,28,6,8,30,08:30:00,28
261,7361,112,1090,100,0,2023-01-28 18:10:00,2023,1,28,6,18,10,18:10:00,28
262,7361,112,1092,100,0,2023-01-28 18:12:00,2023,1,28,6,18,12,18:12:00,28
263,7361,277,1094,100,0,2023-01-28 18:14:00,2023,1,28,6,18,14,18:14:00,28
264,7361,154,512,100,0,2023-01-28 08:32:00,2023,1,28,6,8,32,08:32:00,28
265,7361,154,514,100,0,2023-01-28 08:34:00,2023,1,28,6,8,34,08:34:00,28
266,7361,360,1384,100,0,2023-01-28 23:04:00,2023,1,28,6,23,4,23:04:00,28
267,7361,278,1098,100,0,2023-01-28 18:18:00,2023,1,28,6,18,18,18:18:00,28
268,7361,162,518,100,0,2023-01-28 08:38:00,2023,1,28,6,8,38,08:38:00,28
269,7361,131,520,100,0,2023-01-28 08:40:00,2023,1,28,6,8,40,08:40:00,28
270,7361,277,1100,100,0,2023-01-28 18:20:00,2023,1,28,6,18,20,18:20:00,28
271,7361,292,1394,100,0,2023-01-28 23:14:00,2023,1,28,6,23,14,23:14:00,28
272,7361,250,808,100,0,2023-01-28 13:28:00,2023,1,28,6,13,28,13:28:00,28
273,7361,250,806,100,0,2023-01-28 13:26:00,2023,1,28,6,13,26,13:26:00,28
274,7361,131,524,100,0,2023-01-28 08:44:00,2023,1,28,6,8,44,08:44:00,28
275,7361,795,1402,100,0,2023-01-28 23:22:00,2023,1,28,6,23,22,23:22:00,28
276,7361,285,1106,100,0,2023-01-28 18:26:00,2023,1,28,6,18,26,18:26:00,28
277,7361,123,526,100,0,2023-01-28 08:46:00,2023,1,28,6,8,46,08:46:00,28
278,7361,123,528,100,0,2023-01-28 08:48:00,2023,1,28,6,8,48,08:48:00,28
279,7361,342,1406,100,0,2023-01-28 23:26:00,2023,1,28,6,23,26,23:26:00,28
280,7361,99,530,100,0,2023-01-28 08:50:00,2023,1,28,6,8,50,08:50:00,28
281,7361,70,532,100,0,2023-01-28 08:52:00,2023,1,28,6,8,52,08:52:00,28
282,7361,244,812,100,0,2023-01-28 13:32:00,2023,1,28,6,13,32,13:32:00,28
283,7361,102,1408,100,0,2023-01-28 23:28:00,2023,1,28,6,23,28,23:28:00,28
284,7361,94,1410,100,0,2023-01-28 23:30:00,2023,1,28,6,23,30,23:30:00,28
285,7361,66,536,100,0,2023-01-28 08:56:00,2023,1,28,6,8,56,08:56:00,28
286,7361,97,1412,100,0,2023-01-28 23:32:00,2023,1,28,6,23,32,23:32:00,28
287,7361,97,1414,100,0,2023-01-28 23:34:00,2023,1,28,6,23,34,23:34:00,28
